,place1,place2,flow,load_rate,max_flow,origin_flow,date
0,s,DC14,44100,0.0,0,0,2023-01-02
1,s,DC15,13200,0.0,0,0,2023-01-02
2,s,DC17,3300,0.0,0,0,2023-01-02
3,s,DC25,12700,0.0,0,0,2023-01-02
4,s,DC36,6100,0.0,0,0,2023-01-02
5,s,DC44,12550,0.0,0,0,2023-01-02
6,s,DC48,6300,0.0,0,0,2023-01-02
7,s,DC51,26200,0.0,0,0,2023-01-02
8,DC3,t,9400,0.0,0,0,2023-01-02
9,DC9,t,109950,0.0,0,0,2023-01-02
10,DC14,DC9,44100,0.1004034136751554,439995,77,2023-01-02
11,DC15,DC9,8100,0.10100506272289697,80194,0,2023-01-02
12,DC15,DC4,5100,0.10268524609772142,50163,51,2023-01-02
13,DC17,DC3,3300,0.0659894416893297,50008,0,2023-01-02
14,DC25,DC9,12700,0.10077199552512357,126037,1,2023-01-02
15,DC36,DC3,6100,0.10021356990307212,60870,0,2023-01-02
16,DC44,DC9,12550,0.10083642002587197,124459,0,2023-01-02
17,DC48,DC9,6300,0.10003493283368796,62978,0,2023-01-02
18,DC51,DC9,26200,0.10026134837393863,261337,2,2023-01-02
19,DC4,t,5100,0.0,0,0,2023-01-02
0,s,DC14,42500,0.0,0,0,2023-01-03
1,s,DC23,5300,0.0,0,0,2023-01-03
2,s,DC25,17750,0.0,0,0,2023-01-03
3,s,DC36,11500,0.0,0,0,2023-01-03
4,s,DC44,12500,0.0,0,0,2023-01-03
5,s,DC47,7200,0.0,0,0,2023-01-03
6,s,DC48,6300,0.0,0,0,2023-01-03
7,s,DC51,26200,0.0,0,0,2023-01-03
8,s,DC27,5800,0.0,0,0,2023-01-03
9,DC3,t,11400,0.0,0,0,2023-01-03
10,DC9,t,100150,0.0,0,0,2023-01-03
11,DC12,t,7200,0.0,0,0,2023-01-03
12,DC14,DC9,42500,0.09676700871600814,439995,77,2023-01-03
13,DC23,DC3,5300,0.10123197402349346,52355,0,2023-01-03
14,DC25,DC9,12650,0.10037528662218237,126037,1,2023-01-03
15,DC25,DC4,5100,0.10013351134846461,50932,0,2023-01-03
16,DC36,DC3,6100,0.10021356990307212,60870,0,2023-01-03
17,DC36,DC8,5400,0.4575295668479976,53861,19243,2023-01-03
18,DC44,DC9,12500,0.10043468130066929,124459,0,2023-01-03
19,DC47,DC12,7200,0.10124873439082012,71112,0,2023-01-03
20,DC48,DC9,6300,0.10003493283368796,62978,0,2023-01-03
21,DC51,DC9,26200,0.10026134837393863,261337,2,2023-01-03
22,DC4,t,5100,0.0,0,0,2023-01-03
23,DC8,t,11200,0.0,0,0,2023-01-03
24,DC27,DC8,5800,0.10164382601380954,57062,0,2023-01-03
0,s,DC14,17600,0.0,0,0,2023-01-04
1,s,DC15,13200,0.0,0,0,2023-01-04
2,s,DC17,5000,0.0,0,0,2023-01-04
3,s,DC23,5300,0.0,0,0,2023-01-04
4,s,DC25,17800,0.0,0,0,2023-01-04
5,s,DC36,11500,0.0,0,0,2023-01-04
6,s,DC44,12500,0.0,0,0,2023-01-04
7,s,DC47,7200,0.0,0,0,2023-01-04
8,s,DC48,6300,0.0,0,0,2023-01-04
9,s,DC51,26250,0.0,0,0,2023-01-04
10,s,DC27,5800,0.0,0,0,2023-01-04
11,DC3,t,16400,0.0,0,0,2023-01-04
12,DC9,t,83450,0.0,0,0,2023-01-04
13,DC12,t,7200,0.0,0,0,2023-01-04
14,DC14,DC9,17600,0.040175456539278856,439995,77,2023-01-04
15,DC15,DC9,8100,0.10100506272289697,80194,0,2023-01-04
16,DC15,DC4,5100,0.10268524609772142,50163,51,2023-01-04
17,DC17,DC3,5000,0.09998400255959046,50008,0,2023-01-04
