,place1,place2,flow,load_rate,max_flow,origin_flow,date
0,s,DC15,8041,0.0,0,0,2023-01-31
1,s,DC17,11279,0.0,0,0,2023-01-31
2,s,DC19,11285,0.0,0,0,2023-01-31
3,s,DC20,7039,0.0,0,0,2023-01-31
4,s,DC22,2987,0.0,0,0,2023-01-31
5,s,DC23,11549,0.0,0,0,2023-01-31
6,s,DC25,23728,0.0,0,0,2023-01-31
7,s,DC30,3070,0.0,0,0,2023-01-31
8,s,DC36,6101,0.0,0,0,2023-01-31
9,s,DC38,10075,0.0,0,0,2023-01-31
10,s,DC41,2953,0.0,0,0,2023-01-31
11,s,DC44,12485,0.0,0,0,2023-01-31
12,s,DC46,3739,0.0,0,0,2023-01-31
13,s,DC47,34741,0.0,0,0,2023-01-31
14,s,DC48,6312,0.0,0,0,2023-01-31
15,s,DC49,2705,0.0,0,0,2023-01-31
16,s,DC51,33835,0.0,0,0,2023-01-31
17,s,DC58,10972,0.0,0,0,2023-01-31
18,s,DC18,7135,0.0,0,0,2023-01-31
19,s,DC27,5718,0.0,0,0,2023-01-31
20,DC3,t,32406,0.0,0,0,2023-01-31
21,DC9,t,85373,0.0,0,0,2023-01-31
22,DC10,t,13788,0.0,0,0,2023-01-31
23,DC12,t,12610,0.0,0,0,2023-01-31
24,DC14,t,6269,0.0,0,0,2023-01-31
25,DC15,DC9,8041,0.10026934683392773,80194,0,2023-01-31
26,DC17,DC3,5010,0.10018397056470965,50008,0,2023-01-31
27,DC17,DC14,6269,0.10022702564430518,62548,0,2023-01-31
28,DC19,DC3,4827,0.10017213845739055,48217,3,2023-01-31
29,DC19,DC12,5481,0.10019904676685963,54761,6,2023-01-31
30,DC19,DC35,977,0.03731286281698747,26184,0,2023-01-31
31,DC20,DC10,7039,0.05391969114335177,130546,0,2023-01-31
32,DC22,DC3,2987,0.10005022601707685,29865,1,2023-01-31
33,DC23,DC3,5246,0.10020055391080127,52355,0,2023-01-31
34,DC23,DC35,6303,0.10022739198880531,62887,0,2023-01-31
35,DC25,DC3,3262,0.10008898162069282,32591,0,2023-01-31
36,DC25,DC9,12642,0.10031181319771178,126037,1,2023-01-31
37,DC25,DC4,5103,0.10019241341396372,50932,0,2023-01-31
38,DC25,DC65,2721,0.10000367525451137,27209,0,2023-01-31
39,DC30,DC35,3070,0.1000586663190144,30682,0,2023-01-31
40,DC35,t,23436,0.0,0,0,2023-01-31
41,DC36,DC3,6101,0.1002299983571546,60870,0,2023-01-31
42,DC38,DC4,10075,0.10029765756438462,100451,0,2023-01-31
43,DC40,t,2864,0.0,0,0,2023-01-31
44,DC41,DC9,2953,0.10003387533875338,29520,0,2023-01-31
45,DC44,DC9,12485,0.1003141596831085,124459,0,2023-01-31
46,DC46,DC9,3739,0.10010438692754477,37361,1,2023-01-31
47,DC47,DC9,6539,0.10023574074641031,65326,9,2023-01-31
48,DC47,DC12,7129,0.10025030937113286,71112,0,2023-01-31
49,DC47,DC35,13086,0.10031506565784329,130449,0,2023-01-31
50,DC47,DC40,2864,0.10003143445915266,28631,0,2023-01-31
51,DC47,DC70,5123,0.10018382352941177,51136,0,2023-01-31
52,DC48,DC9,6312,0.10022547556289498,62978,0,2023-01-31
53,DC49,DC9,2705,0.10000739426205264,27048,0,2023-01-31
54,DC51,DC3,4973,0.10018534187517628,49638,0,2023-01-31
55,DC51,DC9,26226,0.10036083677397384,261337,2,2023-01-31
56,DC51,DC4,2636,0.09999620651720345,26361,0,2023-01-31
57,DC58,DC9,3731,0.10011263677322463,37288,2,2023-01-31
58,DC58,DC10,3998,0.10013023442195952,39928,0,2023-01-31
59,DC58,DC8,3243,0.10008638775762063,32412,1,2023-01-31
60,DC4,t,22198,0.0,0,0,2023-01-31
61,DC8,t,8961,0.0,0,0,2023-01-31
62,DC70,t,5123,0.0,0,0,2023-01-31
63,DC18,DC4,4384,0.10015763861917708,43771,0,2023-01-31
64,DC18,DC10,2751,0.100014542281684,27506,0,2023-01-31
65,DC27,DC8,5718,0.10020679261154533,57062,0,2023-01-31
66,DC65,t,2721,0.0,0,0,2023-01-31
